ltla21_code,ltla21_name,Households assessed as threatened with homelessness per (000s),Households assessed as homeless per (000s),"Households in temporary accommodation per 1,000","Households on housing waiting list per 1,000",Social housing stock as a proportion of all households,Vacant dwellings,housing_and_homelessness_composite_score,housing_and_homelessness_composite_rank,housing_and_homelessness_composite_quantiles
E07000195,Newcastle under Lyme,0.820573703231664,1.44909824187719,0.244426209473262,23.183520599250937,0,0,2.6623376623376624,102,4
E09000025,Newham,1.41348139621492,3.57179131259099,NA,287.84415584415586,0.1410822510822511,565,3.607142857142857,247,8
E07000043,North Devon,2.60470217286997,2.35337126145269,1.57653026252656,52.245370370370374,0,1,4.391233766233766,295,10
E07000038,North East Derbyshire,0.95085793318062,0.497039374162597,0.453818559018023,47.5,0.16404347826086957,107,1.521103896103896,9,1
E06000012,North East Lincolnshire,1.99063560153643,2.80371211484005,2.28502537359464,58.55300859598854,2.148997134670487e-4,3,4.212662337662338,286,10
E07000099,North Hertfordshire,0.575584741771754,1.08140163605602,1.62210245408404,45.57319223985891,0,0,3.2337662337662336,198,7
E07000139,North Kesteven,0.816884819240487,1.21582856817189,0.341951784798343,50.549019607843135,0.07654901960784313,123,2.0454545454545454,41,2
E06000013,North Lincolnshire,1.74820508714335,1.61475431713241,0.226866309018603,58.79781420765027,0,5,3.4529220779220777,233,8
E07000147,North Norfolk,0.798339453935814,1.37713555803928,1.21746766725212,52.89256198347107,0,4,3.25,200,7
E06000061,North Northamptonshire,1.06405756291889,1.57662187676397,1.60257450024979,14.80859637340497,0.05480188045668233,110,2.2954545454545454,58,2
E06000024,North Somerset,1.14670752869306,0.771236921952853,0.862567610078849,26.596194503171247,0,0,2.8603896103896105,133,5
E08000022,North Tyneside,1.35523446575231,1.22276793902464,0.876317022967658,27.08939708939709,0.14863825363825364,126,1.9935064935064934,31.5,1
E07000218,North Warwickshire,0.620646851941245,0.379284187297428,NA,10.434782608695652,0.09398550724637682,32,1.9155844155844155,27,1
E07000134,North West Leicestershire,0.933112779403656,1.06035543114052,0.424142172456207,25.35555555555555,0.09235555555555557,42,1.8051948051948052,20,1
E06000057,Northumberland,0.707633001307436,1.10525535442304,0.161744686013128,73.78488767869298,0.05701837985023825,233,1.9577922077922076,29,1
E07000148,Norwich,1.15715402658327,2.92415949960907,0.766223612197029,60.558139534883715,0.2232093023255814,142,2.5746753246753245,89.5,3
E06000018,Nottingham,2.15185043876383,2.86150324303701,4.57077451354445,65.76121794871794,0.20133012820512824,456,3.3993506493506493,220,8
E07000219,Nuneaton & Bedworth,1.34003350083752,2.20400246848276,1.90425813276911,46.908127208480565,0.09978798586572438,81,3.0275974025974026,160,6
